customer_type,product_category,customer_count,customer_percentage
"Repeat Customer",bed_bath_table,602,12.59
"Repeat Customer",furniture_decor,465,9.72
"Repeat Customer",sports_leisure,409,8.55
"Repeat Customer",health_beauty,361,7.55
"Repeat Customer",housewares,297,6.21
"Repeat Customer",computers_accessories,285,5.96
"Repeat Customer",watches_gifts,208,4.35
"Repeat Customer",fashion_bags_accessories,164,3.43
"Repeat Customer",garden_tools,164,3.43
"Repeat Customer",toys,159,3.32
"Repeat Customer",telephony,144,3.01
"Repeat Customer",perfumery,139,2.91
"Repeat Customer",auto,133,2.78
"Repeat Customer",baby,119,2.49
"Repeat Customer",cool_stuff,111,2.32
"Repeat Customer",stationery,89,1.86
"Repeat Customer",pet_shop,84,1.76
"Repeat Customer",,82,1.71
"Repeat Customer",electronics,78,1.63
"Repeat Customer",home_appliances,77,1.61
"Repeat Customer",office_furniture,45,0.94
"Repeat Customer",luggage_accessories,41,0.86
"Repeat Customer",construction_tools_construction,37,0.77
"Repeat Customer",consoles_games,34,0.71
"Repeat Customer",home_construction,33,0.69
"Repeat Customer",home_confort,31,0.65
"Repeat Customer",furniture_living_room,30,0.63
"Repeat Customer",food,24,0.50
"Repeat Customer",drinks,23,0.48
"Repeat Customer",small_appliances,22,0.46
"Repeat Customer",musical_instruments,21,0.44
"Repeat Customer",air_conditioning,20,0.42
"Repeat Customer",fashion_shoes,19,0.40
"Repeat Customer",audio,16,0.33
"Repeat Customer",books_general_interest,15,0.31
"Repeat Customer",kitchen_dining_laundry_garden_furniture,14,0.29
"Repeat Customer",food_drink,13,0.27
"Repeat Customer",market_place,13,0.27
"Repeat Customer",construction_tools_lights,12,0.25
"Repeat Customer",fixed_telephony,12,0.25
"Repeat Customer",costruction_tools_garden,11,0.23
"Repeat Customer",fashion_male_clothing,10,0.21
"Repeat Customer",fashion_underwear_beach,9,0.19
"Repeat Customer",furniture_bedroom,9,0.19
"Repeat Customer",home_appliances_2,9,0.19
"Repeat Customer",art,8,0.17
"Repeat Customer",construction_tools_safety,8,0.17
"Repeat Customer",industry_commerce_and_business,8,0.17
"Repeat Customer",christmas_supplies,7,0.15
"Repeat Customer",agro_industry_and_commerce,5,0.10
"Repeat Customer",fashio_female_clothing,5,0.10
"Repeat Customer",signaling_and_security,5,0.10
"Repeat Customer",books_technical,4,0.08
"Repeat Customer",computers,4,0.08
"Repeat Customer",furniture_mattress_and_upholstery,4,0.08
"Repeat Customer",music,4,0.08
"Repeat Customer",tablets_printing_image,4,0.08
"Repeat Customer",arts_and_craftmanship,3,0.06
"Repeat Customer",cine_photo,3,0.06
"Repeat Customer",costruction_tools_tools,3,0.06
"Repeat Customer",books_imported,2,0.04
"Repeat Customer",dvds_blu_ray,2,0.04
"Repeat Customer",fashion_sport,2,0.04
"Repeat Customer",la_cuisine,2,0.04
"Repeat Customer",diapers_and_hygiene,1,0.02
"Repeat Customer",fashion_childrens_clothes,1,0.02
"Repeat Customer",home_comfort_2,1,0.02
